eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Pasiphae,FALSE,23624000,0,0,0.409,151.4,1,0.022,0,18,0,0,0,NA,743.6,0,27/01/1908,3e17,NA,Secondary,Jupiter,NA,NA,NA,0.029476803250931258,5.305824585167627,6.681897805732091e-10,1.5789473684210526e-10,0.15791668617646976,71392676769559070
Sinope,FALSE,23939000,0,0,0.25,158.1,1,0.014,0,14,0,0,0,NA,758.9,0,21/07/1914,8e16,NA,Secondary,Jupiter,NA,NA,NA,0.02908876728351226,5.235978111032207,4.042135709640401e-10,4.210526315789473e-11,0.16002233111998432,18540321305986716
Lysithea,FALSE,11717000,0,0,0.112,28.3,1,0.013,0,12,0,0,0,NA,259.22,0,06/07/1938,8e16,NA,Secondary,Jupiter,NA,NA,NA,0.05943108304173423,10.697594947512162,2.9697323581031517e-10,4.210526315789473e-11,0.07832330731161938,77392059845774380
Carme,FALSE,23404000,0,0,0.253,164.9,1,0.017,0,15,0,0,0,NA,734.2,0,30/07/1938,1e17,NA,Secondary,Jupiter,NA,NA,NA,0.02975376004101863,5.355676807383354,4.6402068095361744e-10,5.263157894736842e-11,0.15644607700957072,24247060709843932
Ananke,FALSE,21276000,0,0,0.244,148.9,1,0.01,0,10,0,0,0,NA,629.8,0,28/09/1951,4e16,NA,Secondary,Jupiter,NA,NA,NA,0.032729460424891894,5.891302876480541,2.0623141375716332e-10,2.1052631578947366e-11,0.14222127561338346,11735978541597322
Leda,FALSE,11165000,0,0,0.164,27.46,1,0.0073,0,5,0,0,0,NA,240.92,0,11/09/1974,6e17,NA,Secondary,Jupiter,NA,NA,NA,0.062368741603224365,11.226373488580386,5.155785343929083e-11,3.157894736842105e-10,0.0746334152201272,639253440785321500
Thebe,FALSE,221900,218000,226000,0.018,1.08,1,0.02,0,49,0,0,0,58 x 49 x 42,0.6745,16.188,05/03/1979,8e17,NA,Secondary,Jupiter,NA,NA,NA,3.138310049571879,564.8958089229383,4.9516162443094916e-9,4.2105263157894736e-10,0.0014833098824313681,21578172532235732e5
Adrastea,FALSE,129000,0,0,0.002,0.054,1,0.002,0,8,0,0,0,10 x 8 x 7,0.29826,0.7158,08/07/1979,2e15,NA,Secondary,Jupiter,NA,NA,NA,5.398062015503876,971.6511627906976,1.319881048045845e-10,1.0526315789473683e-12,8.623117387726295e-4,15962093624181238e3
Metis,FALSE,128000,127974,128026,0.001,0.019,1,0.005,0,22,0,0,0,30 x 20 x 17,0.29478,0.7075,04/03/1979,1e17,NA,Secondary,Jupiter,NA,NA,NA,5.44034375,979.261875,9.981600425846705e-10,5.263157894736842e-11,8.556271516503611e-4,8106237792968749e5
Callirrhoe,FALSE,24102000,0,0,0.283,147.1,1,0.0031,0,4,0,0,0,NA,758.8,0,06/10/1999,870000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02889162725085055,5.2004929051531,3.299702620114613e-11,4.578947368421052e-13,0.16111191882091408,198908053353118.12
Themisto,FALSE,7507000,5909000,8874300,0.242,43.08,1,0.0029,0,4,0,0,0,NA,130.02,0,30/09/1975,690000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.09275955774610363,16.696720394298655,3.299702620114613e-11,3.631578947368421e-13,0.05018119552686923,1626131032199085
Megaclite,FALSE,14146700,0,0,0.421,152.8,1,0,0,2.7,0,0,0,NA,752.8,0,23/11/2000,210000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.04922311917266924,8.860161451080463,1.503427006289721e-11,1.1052631578947368e-13,0.09456484864259503,139363256461461.95
Taygete,FALSE,23363000,0,0,0.252,165.2,1,0,0,2.5,0,0,0,NA,732.2,0,23/11/2000,160000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029805440225998372,5.364979240679707,1.2889463359822707e-11,8.421052631578947e-14,0.1561720089375577,38931581249098.195
Chaldene,FALSE,23179000,0,0,0.251,165.2,1,0,0,1.9,0,0,0,NA,723.8,0,23/11/2000,75000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030042016480434877,5.407562966478278,7.444954036633596e-12,3.9473684210526314e-14,0.15494204490706032,18540060677313.492
Harpalyke,FALSE,21104000,0,0,0.226,148.6,1,0,0,2.2,0,0,0,NA,623.3,0,23/11/2000,120000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03299583965125095,5.93925113722517,9.981600425846706e-12,6.31578947368421e-14,0.1410715266283533,35784171647714.83
Kalyke,FALSE,23564000,0,0,0.245,165.2,1,0,0,2.6,0,0,0,NA,743,0,23/11/2000,190000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02955120522831438,5.319216941096588,1.394124356998424e-11,9.999999999999999e-14,0.15751561094913366,45445914968415.195
Iocaste,FALSE,21272000,0,0,0.216,149.4,1,0,0,2.6,0,0,0,NA,631.5,0,23/11/2000,190000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03273526701767582,5.892348063181647,1.394124356998424e-11,9.999999999999999e-14,0.1421945372648944,55766865029834.03
Erinome,FALSE,23283000,0,0,0.266,164.9,1,0,0,1.6,0,0,0,NA,728.3,0,23/11/2000,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02990781256710905,5.383406262079629,5.279524192183382e-12,2.3684210526315787e-14,0.15563724196777623,11024881144711.062
Isonoe,FALSE,23231000,0,0,0.246,165.2,1,0,0,1.9,0,0,0,NA,725.5,0,23/11/2000,75000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02997477078042271,5.395458740476088,7.444954036633596e-12,3.9473684210526314e-14,0.15528964343741827,18457153858066.473
Praxidike,FALSE,21148000,0,0,0.23,149,1,0,0,3.4,0,0,0,NA,625.3,0,23/11/2000,430000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.032927246075278985,5.926904293550217,2.3840351430328074e-11,2.263157894736842e-13,0.1413656484617331,127693599959273.58
Autonoe,FALSE,24033000,0,0,0.334,152.9,1,0.0015,0,2,0,0,0,NA,715.4,0,10/12/2001,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.028974493404901595,5.215408812882287,8.249256550286532e-12,4.7368421052631573e-14,0.16065068230947757,20695018323092.477
Thyone,FALSE,21192000,0,0,0.229,148.5,1,0.0015,0,2,0,0,0,NA,627.3,0,11/12/2001,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03285881464703662,5.914586636466591,8.249256550286532e-12,4.7368421052631573e-14,0.1416597702951129,26615700298452.33
Hermippe,FALSE,21300000,0,0,0.21,150.7,1,0.0015,0,2,0,0,0,NA,633.9,0,19/12/2001,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03269220657276995,5.884597183098591,8.249256550286532e-12,4.7368421052631573e-14,0.1423817057043179,26346478873239.437
Aitne,FALSE,23315000,0,0,0.264,165.1,1,0.0012,0,1.5,0,0,0,NA,730.2,0,19/12/2001,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029866759596826078,5.376016727428694,4.6402068095361746e-12,2.3684210526315787e-14,0.1558511487556888,10994638460686.926
Eurydome,FALSE,23148000,0,0,0.276,150.3,1,0.0012,0,1.5,0,0,0,NA,723.9,0,19/12/2001,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03008223172628305,5.4148017107309485,4.6402068095361746e-12,2.3684210526315787e-14,0.15473482270626998,11153851166918.074
Euanthe,FALSE,21038000,0,0,0.232,148.9,1,0.0012,0,1.5,0,0,0,NA,620.6,0,11/12/2001,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03309932027759293,5.957877649966727,4.6402068095361746e-12,2.3684210526315787e-14,0.14063034387828358,13503392486830.54
Euporie,FALSE,19339000,0,0,0.144,145.8,1,0,0,1,0,0,0,NA,553.1,0,11/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03600718754847717,6.48129375872589,2.062314137571633e-12,7.894736842105262e-15,0.12927323035754948,5326752409279.86
Orthosie,FALSE,21164000,0,0,0.281,145.9,1,8.1e-4,0,1,0,0,0,NA,622.6,0,11/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03290223965223965,5.922403137403137,2.062314137571633e-12,7.894736842105262e-15,0.14147260185568938,4447695349698.751
Sponde,FALSE,23790000,0,0,0.312,151,1,8.1e-4,0,1,0,0,0,NA,748.3,0,19/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029270407734342162,5.268673392181589,2.062314137571633e-12,7.894736842105262e-15,0.15902632763876634,3519991815735.309
Kale,FALSE,23302000,0,0,0.26,165,1,8.1e-4,0,1,0,0,0,NA,729.5,0,19/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02988340056647498,5.379012101965496,2.062314137571633e-12,7.894736842105262e-15,0.15576424912309933,3668969841652.7817
Pasithee,FALSE,23090000,0,0,0.267,165.1,1,8.1e-4,0,1,0,0,0,NA,716.3,0,11/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030157773928107406,5.428399307059333,2.062314137571633e-12,7.894736842105262e-15,0.1543471166531784,3736652161003.6685
Hegemone,FALSE,23566000,0,0,0.328,155.2,1,0,0,2,0,0,0,NA,739.6,0,2003,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029548671815327165,5.318760926758889,8.249256550286532e-12,2.3684210526315787e-14,0.1575289801233782,10761679299120.148
Mneme,FALSE,21036000,0,0,0.227,148.6,1,0,0,2,0,0,0,NA,620,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03310249096786461,5.958448374215631,8.249256550286532e-12,7.894736842105262e-15,0.14061697470403903,4501986760641.877
Aoede,FALSE,23969000,0,0,0.432,158.3,1,0,0,2,0,0,0,NA,761.5,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02905185865075723,5.229334557136301,8.249256550286532e-12,4.7368421052631573e-14,0.16022286873365238,20805682049704.01
Thelxinoe,FALSE,21165000,0,0,0.221,151.4,1,0,0,2,0,0,0,NA,628.1,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.032900732341129224,5.92213182140326,8.249256550286532e-12,7.894736842105262e-15,0.14147928644281166,4447275071855.354
Arche,FALSE,23355000,0,0,0.259,165,1,0.0012,0,1.5,0,0,0,NA,762.7,0,31/10/2002,41500000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029815606936416186,5.3668092485549135,4.6402068095361746e-12,2.1842105263157893e-14,0.15611853224057956,10104797907402.342
Kallichore,FALSE,23273000,0,0,0.264,165.5,1,0,0,2,0,0,0,NA,764.7,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02992068061702402,5.385722511064324,8.249256550286532e-12,7.894736842105262e-15,0.15557039609655354,3678119192135.8916
Helike,FALSE,21064000,0,0,0.156,154.8,1,0,0,4,0,0,0,NA,634.8,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03305858336498291,5.950545005696924,3.299702620114613e-11,4.7368421052631573e-14,0.14080414314346254,26940155363957.617
Carpo,FALSE,17078000,0,0,0.43,51.4,1,0,0,3,0,0,0,NA,456.1,0,2003,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.040774388101651245,7.339389858297224,1.8560827238144698e-11,2.3684210526315787e-14,0.11415937887410052,20491689851463.195
Eukelade,FALSE,23322000,0,0,0.272,165.5,1,0,0,4,0,0,0,NA,746.4,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029857902409741875,5.374422433753537,3.299702620114613e-11,4.7368421052631573e-14,0.1558979408655447,21976078924762.168
Cyllene,FALSE,23787000,0,0,0.319,149.3,1,0,0,1,0,0,0,NA,737.8,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029274099297935847,5.269337873628452,2.062314137571633e-12,7.894736842105262e-15,0.15900627387739952,3520879749594.611
Kore,FALSE,24486000,0,0,0.325,145,1,0,0,1,0,0,0,NA,779.2,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02843841378747039,5.11891448174467,2.062314137571633e-12,7.894736842105262e-15,0.16367880027586518,3322728430568.259
Herse,FALSE,23405000,0,0,0.2,164.2,1,0,0,2,0,0,0,NA,717.3,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029751933347575303,5.355348002563555,8.249256550286532e-12,7.894736842105262e-15,0.15645276159669297,3636748319772.1987
S/2003 J 2,FALSE,28332000,0,0,0.38,151.8,1,0,0,1,0,0,0,NA,982.5,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.024577968374982353,4.424034307496823,2.062314137571633e-12,7.894736842105262e-15,0.1893877223481096,2481853096248.5537
Eupheme,FALSE,20230000,0,0,0.253,148,1,0,0,1,0,0,0,NA,504,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03442130499258527,6.195834898665349,2.062314137571633e-12,7.894736842105262e-15,0.13522919748349066,4867867765872.887
S/2003 J 4,FALSE,23928000,0,0,0.204,144.9,1,0,0,1,0,0,0,NA,723.2,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02910159645603477,5.2382873620862584,2.062314137571633e-12,7.894736842105262e-15,0.15994880066163938,3479507185883.964
Eirene,FALSE,23493000,0,0,0.22,163.1,1,0,0,2,0,0,0,NA,759.7,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029640488656195462,5.335287958115183,8.249256550286532e-12,4.7368421052631573e-14,0.1570410052634526,21657325846979.97
S/2003 J 9,FALSE,23385000,0,0,0.269,164.5,1,0,0,0.5,0,0,0,NA,683,0,2003,1500000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029777314517853325,5.359916613213598,5.155785343929083e-13,7.894736842105263e-16,0.15631906985424762,364297163126.6952
S/2003 J 10,FALSE,23042000,0,0,0.214,164.1,1,0,0,1,0,0,0,NA,767,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030220597170384514,5.439707490669212,2.062314137571633e-12,7.894736842105262e-15,0.15402625647130955,3752236408909.191
S/2003 J 12,FALSE,17835000,0,0,0.376,145.8,1,0,0,0.5,0,0,0,NA,533.3,0,2003,1000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03904359405663022,7.02784693019344,5.155785343929083e-13,5.263157894736841e-16,0.11921961132565774,417535158791.7433
Philophrosyne,FALSE,22622000,0,0,0.194,143.6,1,0,0,1,0,0,0,NA,668.4,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03078167270798338,5.540701087437008,2.062314137571633e-12,7.894736842105262e-15,0.1512187298799568,3892857815891.4062
S/2003 J 16,FALSE,20948000,0,0,0.23,148.5,1,0,0,1,0,0,0,NA,595.4,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03324150276876074,5.983470498376933,2.062314137571633e-12,7.894736842105262e-15,0.14002873103727942,4539890806477.564
S/2003 J 18,FALSE,20494000,0,0,0.105,146.4,1,0,0,1,0,0,0,NA,606.3,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.033977895969552065,6.116021274519372,2.062314137571633e-12,7.894736842105262e-15,0.13699392848376954,4743261562372.224
S/2003 J 19,FALSE,23532000,0,0,0.334,162.9,1,0,0,1,0,0,0,NA,701.3,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02959132245453,5.3264380418154005,2.062314137571633e-12,7.894736842105262e-15,0.15730170416122108,3597599865748.5767
S/2003 J 23,FALSE,23549000,0,0,0.309,149.2,1,8.1e-4,0,1,0,0,0,NA,759.7,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02956996050787719,5.322592891417894,2.062314137571633e-12,7.894736842105262e-15,0.15741534214229963,3592407532967.116
Mimas,FALSE,185539,181770,189270,0.0202,1.53,1.15,0,0,396.4,0,0,0,415x394x381,0.94,22.56,17/09/1789,379e17,NA,Secondary,Saturn,NA,NA,NA,3.7552126507095545,675.9382771277199,3.240575248864779e-7,1.994736842105263e-8,0.0012402516100785653,14622043298592274e7
Enceladus,FALSE,238037,236830,239066,0.0045,0,1.61,0,0,504.2,0,0,0,NA,1.37,32.88,28/08/1789,108e18,NA,Secondary,Saturn,NA,NA,NA,2.9274700991862606,526.9446178535269,5.242766329920959e-7,5.6842105263157894e-8,0.001591179064823414,25314776525314367e7
Tethys,FALSE,294672,294589,294648,0,1.86,0.985,0,0,1066,0,0,0,NA,1.89,45.312,21/03/1684,618e18,NA,Secondary,Saturn,NA,NA,NA,2.3667263940924146,426.0107509366346,2.3435230441143505e-6,3.2526315789473684e-7,0.0019697606564930874,9452572397181888e8
Dione,FALSE,377415,376580,378260,0.0022,0.02,1.48,0,0,1123.4,0,0,0,NA,2.74,0,21/03/1684,11e20,NA,Secondary,Saturn,NA,NA,NA,1.8480065710159903,332.6411827828783,2.6026972789930332e-6,5.789473684210526e-7,0.0025228634487509454,10256369305893162e8
Rhea,FALSE,527068,526543,527597,0.001,0.35,1.24,0,0,1528.6,0,0,0,NA,4.518,108.432,23/12/1672,23e20,NA,Secondary,Saturn,NA,NA,NA,1.3240617908884622,238.3311223599232,4.818840253011788e-6,1.2105263157894736e-6,0.003523231965359785,10995976817344066e8
Titan,FALSE,1221865,1186680,1257060,0.0292,0.33,1.88,0,0,2575,0,0,0,NA,15.95,382.8,25/03/1655,135e21,NA,Secondary,Saturn,NA,NA,NA,0.5720083642628278,102.96150556730899,1.367443167843591e-5,7.105263157894735e-5,0.008167663044150534,12009546215458244e9
Hyperion,FALSE,1500934,1466112,1535756,0.1042,0.43,0.55,0,0,266,0,0,0,328x260x214,21.28,0,16/09/1848,56e17,NA,Secondary,Saturn,NA,NA,NA,0.46411634355674536,83.54094184021416,1.4592109911801847e-7,2.9473684210526315e-9,0.010033124087774868,3301445364468039e5
Iapetus,FALSE,3560851,3460068,3661612,0.0283,14.72,1.09,0,0,1471.2,0,0,0,NA,79.33,1735.92,25/10/1671,181e19,NA,Secondary,Saturn,NA,NA,NA,0.19596809863709544,35.27425775467718,4.463733433888253e-6,9.526315789473683e-7,0.02380281873891672,18958774048654147e6
Phoebe,FALSE,12947913,0,0,0.164,174.8,1.64,0,0,214.4,0,0,0,230x220x210,548.2,9.2736,17/03/1899,829e16,NA,Secondary,Saturn,NA,NA,NA,0.053796808798452694,9.683425583721485,9.479913639484478e-8,4.3631578947368415e-9,0.0865514525000522,6567412028370339e3
Janus,FALSE,151460,0,0,0.007,0.14,0.63,0,0,33,0,0,0,195x194x152,0.7,0,15/12/1966,19e17,NA,Secondary,Saturn,NA,NA,NA,4.597748580483296,827.5947444869934,2.2458600958155087e-9,9.999999999999999e-10,0.0010124475655387789,11000108648025366e6
Epimetheus,FALSE,151410,0,0,0.009,0.34,0.64,0,0,113.4,0,0,0,116x117x106,0.69,0,18/12/1966,53e16,NA,Secondary,Saturn,NA,NA,NA,4.599797899742422,827.9636219536359,2.6520452390950674e-8,2.789473684210526e-10,0.0010121133361826655,3070478278677929e6
Helene,FALSE,377420,0,0,0.005,0,1.3,0,0,33,0,0,0,39x37x25,2.74,0,01/03/1980,24e15,NA,Secondary,Saturn,NA,NA,NA,1.845092999841026,332.1167399713847,2.2458600958155087e-9,1.263157894736842e-11,0.002522896871686557,2237694012698568e4
Telesto,FALSE,294710,0,0,0.001,1.158,1,0,0,33,0,0,0,30x23x14,1.89,0,08/04/1980,1e16,NA,Secondary,Saturn,NA,NA,NA,2.3629160870007806,425.3248956601405,2.2458600958155087e-9,5.2631578947368416e-12,0.0019700146708037337,15291480451499518e3
Calypso,FALSE,294710,0,0,0.001,1.473,1,0,0,33,0,0,0,31x24x21,1.89,0,13/03/1980,65e14,NA,Secondary,Saturn,NA,NA,NA,2.3629160870007806,425.3248956601405,2.2458600958155087e-9,3.4210526315789472e-12,0.0019700146708037337,9939462293474687e3
Atlas,FALSE,137670,0,0,0,0.3,0.5,0,0,33,0,0,0,42x36x18,0.602,0,12/11/1980,7e15,NA,Secondary,Saturn,NA,NA,NA,5.0582915667901505,910.4924820222271,2.2458600958155087e-9,3.6842105263157895e-12,9.20267109122697e-4,4905222299323354e4
Prometheus,FALSE,139380,0,0,0.00204,0,0.48,0,0,33,0,0,0,133x79x61,0.613,0,??/10/1980,16e16,NA,Secondary,Saturn,NA,NA,NA,4.996233318984072,899.321997417133,2.2458600958155087e-9,8.421052631578947e-11,9.31697753101776e-4,10938514353409923e5
Pandora,FALSE,141720,0,0,0.0042,0,0.49,0,0,33,0,0,0,103x80x64,0.629,0,??/10/1980,14e16,NA,Secondary,Saturn,NA,NA,NA,4.913738357324301,884.4729043183742,2.2458600958155087e-9,7.368421052631579e-11,9.473396869678842e-4,9257741011622142e5
Pan,FALSE,133580,0,0,0,0,0.42,0,0,33,0,0,0,35x32x21,0.575,0,22/08/1981,495e13,NA,Secondary,Saturn,NA,NA,NA,5.213168138942955,938.370265009732,2.2458600958155087e-9,2.6052631578947365e-12,8.92927147792619e-4,36843561039565943e3
Ymir,FALSE,23140400,0,0,0.187,167.9,1,0,0,9,0,0,0,NA,1315.4,0,07/08/2000,397e13,NA,Secondary,Saturn,NA,NA,NA,0.030092435740090923,5.416638433216367,1.6704744514330227e-10,2.089473684210526e-12,0.15468401984414074,984664004048878.4
Paaliaq,FALSE,15024000,6908035,23139965,0.364,47.2,1,0,0,10,0,0,0,NA,686.9,0,07/08/2000,725e13,NA,Secondary,Saturn,NA,NA,NA,0.0463493077742279,8.342875399361022,2.0623141375716332e-10,3.8157894736842104e-12,0.10042923692496113,4265855453071323
Tarvos,FALSE,18263200,0,0,0.531,33.8,1,0,0,7,0,0,0,NA,926.2,0,23/09/2000,23e14,NA,Secondary,Saturn,NA,NA,NA,0.03812853169214595,6.863135704586272,1.0105339274101002e-10,1.2105263157894735e-12,0.12208195153141309,915826834475457.4
Ijiraq,FALSE,11367400,0,0,0.316,49.1,1,0,0,5,0,0,0,NA,451.4,0,23/09/2000,118e13,NA,Secondary,Saturn,NA,NA,NA,0.06125824726850467,11.02648450833084,5.155785343929083e-11,6.210526315789473e-13,0.07598637565367433,1212827403880459.5
Suttungr,FALSE,19476700,0,0,0.114,175.8,1,0,0,3,0,0,0,NA,1016.7,0,23/09/2000,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03575271991661832,6.435489584991298,1.8560827238144698e-11,1.2105263157894735e-13,0.13019369800428585,80526044180309.06
Kiviuq,FALSE,11311100,0,0,0.334,48.7,1,0,0,7,0,0,0,NA,449.2,0,07/08/2000,279e13,NA,Secondary,Saturn,NA,NA,NA,0.06156333159462828,11.081399687033091,1.0105339274101002e-10,1.468421052631579e-12,0.07561003339869062,2896235003851663
Mundilfari,FALSE,18667900,0,0,0.21,169.4,1,0,0,3,0,0,0,NA,952.6,0,23/09/2000,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03730173184985992,6.714311732974786,1.8560827238144698e-11,1.2105263157894735e-13,0.12478720393979513,87654896878424.11
Albiorix,FALSE,16401100,0,0,0.469,34,1,0,0,13,0,0,0,NA,783.5,13.32,09/11/2000,223e14,NA,Secondary,Saturn,NA,NA,NA,0.042457822950899636,7.642408131161934,3.4853108924960603e-10,1.1736842105263157e-11,0.10963458185103701,11010275564898812
Skathi,FALSE,15614300,0,0,0.27,148.5,1,0,0,3,0,0,0,NA,728.2,0,23/09/2000,350000000000000,NA,Secondary,Saturn,NA,NA,NA,0.04459661976521522,8.02739155773874,1.8560827238144698e-11,1.8421052631578948e-13,0.10437514870323619,190661183506169.72
Erriapus,FALSE,17611400,0,0,0.474,34.6,1,0,0,4,0,0,0,NA,871.2,0,23/09/2000,680000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03953950282203573,7.117110507966431,3.299702620114613e-11,3.5789473684210526e-13,0.11772493764511852,291179254091110.7
Siarnaq,FALSE,18015400,0,0,0.295,45.6,1,0,0,16,0,0,0,NA,895.6,0,23/09/2000,435e14,NA,Secondary,Saturn,NA,NA,NA,0.03865348535142156,6.957627363255881,5.27952419218338e-10,2.2894736842105263e-11,0.12042551084251496,17800849035941718
